央视频道,#genre#
CETV4,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226414/index.m3u8?servicetype=1

CETV1,http://36.159.28.196:6610/PLTV/77777777/224/3221225776/index.m3u8?
CETV1,http://36.159.28.196:6610/PLTV/77777777/224/3221226411/index.m3u8?
CETV2,http://36.159.28.196:6610/PLTV/77777777/224/3221226432/index.m3u8?
CETV4,http://36.159.28.196:6610/PLTV/77777777/224/3221226414/index.m3u8?

CETV1,http://39.135.46.246:6610/PLTV/77777777/224/3221225776/index.m3u8?
CETV1,http://39.135.46.246:6610/PLTV/77777777/224/3221226411/index.m3u8?
CETV2,http://39.135.46.246:6610/PLTV/77777777/224/3221226432/index.m3u8?
CETV4,http://39.135.46.246:6610/PLTV/77777777/224/3221226414/index.m3u8?

CGTN,https://english-livebkali.cgtn.com/live/encgtn_0.m3u8
CGTN纪录,https://english-livebkali.cgtn.com/live/doccgtn_0.m3u8

CGTN,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226417/index.m3u8?servicetype=1
CGTN纪录,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226430/index.m3u8?servicetype=1

CGTN,http://36.159.28.196:6610/PLTV/77777777/224/3221226417/index.m3u8?
CGTN纪录,http://36.159.28.196:6610/PLTV/77777777/224/3221226430/index.m3u8?

CGTN,http://39.135.46.246:6610/PLTV/77777777/224/3221226417/index.m3u8?
CGTN纪录,http://39.135.46.246:6610/PLTV/77777777/224/3221226430/index.m3u8?

卫视频道,#genre#
北京卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226435/index.m3u8?servicetype=1
北京卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226438/index.m3u8?servicetype=1
北京卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226333/index.m3u8?servicetype=1
北京卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225889/index.m3u8?servicetype=1
北京卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225651/index.m3u8?servicetype=1
北京卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226376/index.m3u8?servicetype=1
东方卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225942/index.m3u8?servicetype=1
东方卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226016/index.m3u8?servicetype=1
东方卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226377/index.m3u8?servicetype=1
东方卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225718/index.m3u8?servicetype=1
广东卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225913/index.m3u8?servicetype=1
广东卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225666/index.m3u8?servicetype=1
广东卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226382/index.m3u8?servicetype=1
深圳卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225725/index.m3u8?servicetype=1
深圳卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226379/index.m3u8?servicetype=1
深圳卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225951/index.m3u8?servicetype=1
大湾区卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225748/index.m3u8?servicetype=1
大湾区卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226421/index.m3u8?servicetype=1
江苏卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226468/index.m3u8?servicetype=1
江苏卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226465/index.m3u8?servicetype=1
江苏卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226391/index.m3u8?servicetype=1
